Num,名稱,$$,吃,食材,喝,冰,熱,甜,鹹,即食,日常,收納,清潔,學習,電器,洗澡,衛生,廚房,貴,ratio
1,35元乾隆印泥,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158682092329175
2,古早,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386787600052365
3,一品口杯,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476046276987526
4,土豆麵筋,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111077464630423
5,大田豆,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892586769351612
6,小磨香油,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115705692323357
7,有機嫩豆腐,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00476046276987526
8,有機糯米椒,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00386787600052365
9,貝殼通心麵,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00644646000087275
10,乳高玉米,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135177307402916
11,京都水菜,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115044516938652
12,武當壽麵線,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00833080984728171
13,泡菜麵,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181823230793847
14,直條通心麵,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219179640029674
15,青仁黑豆,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495881538528673
16,南興冬粉,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0044959926159933
17,南興米粉,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00899198523198661
18,南興純米粉,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120003332323939
19,珍珠圓,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0123639796939816
20,珍珠薏仁,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000826469230881122
21,家常勁麵條,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215212587721444
22,柴魚片,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00502493292375722
23,海鮮麵,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991763077057347
24,雪蓮子麵筋,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0111077464630423
25,黃豆,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000991763077057346
26,龍頭掃,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00628116615469653
27,瑞花,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0413234615440561
28,萬家香珍釀白醋600g,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184467932332666
29,萬家香特級烏醋595ml,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819857477034073
30,銀雪分享包,50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479352153911051
31,冠-時光魔卡拿鐵,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136863304633914
32,茉香綠茶,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495881538528673
33,茉莉茶烏龍茶,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00495881538528673
34,香片茶包,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826469230881122
35,香草咖啡,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173558538485036
36,香菇 海帶湯,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271081907729008
37,柴魚 海帶湯,41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0067770476932252
38,烏龍茶袋茶,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247940769264337
39,特級紅標純米酒0.3公升,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0386787600052365
40,大同玉米濃湯,18,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00416540492364086
41,五穀米,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00661175384704898
42,有機奶油白菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0019174086156442
43,有機本島萵苣,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0019174086156442
44,有機白莧菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00671093015475471
45,有機豆皮,47,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0155376215405651
46,有機豆腐,47,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00621504861622604
47,有機芥藍菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0297198335424851
48,有機芹菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000958704307822102
49,有機金針菇,32,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00952092553975053
50,有機青江菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.046976511083283
51,有機青花椰菜心,39,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0025785840003491
52,有機青蔥,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00862833877039891
53,有機紅小嵩菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00383481723128841
54,有機紅捲萵苣,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000958704307822102
55,有機紅莧菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0028761129234663
56,有機紅蘿蔔,48,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0301495975425433
57,有機香菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00671093015475471
58,有機茼蒿,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0153392689251536
59,有機高麗菜500g,47,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0124300972324521
60,有機結頭菜,45,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00595057846234408
61,有機菠菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.056563554161504
62,有機黃豆芽,40,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00528940307763918
63,有機黑木耳,45,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0357034707740645
64,有機黑豆芽,39,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00128929200017455
65,有機黑葉白菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0220501990799083
66,有機葉蘿蔔,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0105457473860431
67,有機綠豆芽,34,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00224799630799665
68,有機綠寶石菜,29,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.00671093015475471
